"gate_source","gate_target","produce"
13164,77,"Forestry"
8449,71,"Fruit"
14552,71,"Fruit"
27020,71,"Fruit"
1193,71,"Fruit"
16508,71,"Fruit"
16054,71,"Fruit"
13167,71,"Fruit"
13168,71,"Fruit"
13169,71,"Fruit"
13170,71,"Fruit"
7968,71,"Fruit"
7382,71,"Fruit"
7422,71,"Fruit"
7667,71,"Fruit"
11001,71,"Fruit"
11008,71,"Fruit"
11021,71,"Fruit"
12806,71,"Fruit"
8449,78,"Fruit"
14552,78,"Fruit"
27020,78,"Fruit"
1193,78,"Fruit"
16508,78,"Fruit"
16054,78,"Fruit"
13167,78,"Fruit"
13168,78,"Fruit"
13169,78,"Fruit"
13170,78,"Fruit"
7968,78,"Fruit"
7382,78,"Fruit"
7422,78,"Fruit"
7659,78,"Fruit"
7667,78,"Fruit"
11001,78,"Fruit"
11008,78,"Fruit"
11021,78,"Fruit"
12806,78,"Fruit"
12808,78,"Fruit"
13412,79,"Sheepmeat"
13164,79,"Sheepmeat"
14338,79,"Sheepmeat"
